[INFO ] 2023-04-05 23:36:44.914 [main] UserTests_Logger - =====Starting testPostUser========
[INFO ] 2023-04-05 23:46:39.736 [main] UserTests_Logger - =====Ending testPostUser========
[INFO ] 2023-04-05 23:46:39.741 [main] UserTests_Logger - =====Starting testGetUser========
[INFO ] 2023-04-05 23:46:41.202 [main] UserTests_Logger - =====Ending testGetUser========
[INFO ] 2023-04-05 23:46:41.207 [main] UserTests_Logger - =====Starting testUpdateUser========
[INFO ] 2023-04-05 23:46:42.643 [main] UserTests_Logger - =====Starting testGetUser========
[INFO ] 2023-04-05 23:46:44.515 [main] UserTests_Logger - =====Ending testGetUser========
[INFO ] 2023-04-05 23:46:44.515 [main] UserTests_Logger - =====Ending testUpdateUser========
[INFO ] 2023-04-05 23:46:44.520 [main] UserTests_Logger - =====Starting testDeleteUser========
[INFO ] 2023-04-05 23:46:45.934 [main] UserTests_Logger - =====Ending testDeleteUser========
[DEBUG] 2023-04-05 23:46:46.564 [main] PackageRelationshipCollection - Parsing relationship: /xl/_rels/workbook.xml.rels
[DEBUG] 2023-04-05 23:46:46.589 [main] PackageRelationshipCollection - Parsing relationship: /xl/worksheets/_rels/sheet1.xml.rels
[DEBUG] 2023-04-05 23:46:46.644 [main] PackageRelationshipCollection - Parsing relationship: /_rels/.rels
[DEBUG] 2023-04-05 23:46:48.680 [main] PackageRelationshipCollection - Parsing relationship: /xl/_rels/workbook.xml.rels
[DEBUG] 2023-04-05 23:46:48.690 [main] PackageRelationshipCollection - Parsing relationship: /xl/worksheets/_rels/sheet1.xml.rels
[DEBUG] 2023-04-05 23:46:48.725 [main] PackageRelationshipCollection - Parsing relationship: /_rels/.rels
[DEBUG] 2023-04-05 23:46:48.915 [main] PackageRelationshipCollection - Parsing relationship: /xl/_rels/workbook.xml.rels
[DEBUG] 2023-04-05 23:46:48.920 [main] PackageRelationshipCollection - Parsing relationship: /xl/worksheets/_rels/sheet1.xml.rels
[DEBUG] 2023-04-05 23:46:48.925 [main] PackageRelationshipCollection - Parsing relationship: /_rels/.rels
[DEBUG] 2023-04-05 23:46:49.210 [main] PackageRelationshipCollection - Parsing relationship: /xl/_rels/workbook.xml.rels
[DEBUG] 2023-04-05 23:46:49.215 [main] PackageRelationshipCollection - Parsing relationship: /xl/worksheets/_rels/sheet1.xml.rels
[DEBUG] 2023-04-05 23:46:49.220 [main] PackageRelationshipCollection - Parsing relationship: /_rels/.rels
[DEBUG] 2023-04-05 23:46:49.410 [main] PackageRelationshipCollection - Parsing relationship: /xl/_rels/workbook.xml.rels
[DEBUG] 2023-04-05 23:46:49.420 [main] PackageRelationshipCollection - Parsing relationship: /xl/worksheets/_rels/sheet1.xml.rels
[DEBUG] 2023-04-05 23:46:49.425 [main] PackageRelationshipCollection - Parsing relationship: /_rels/.rels
